RollNo,ClubName,StartSemester,EndSemester,Position
23,Competitive Coding Club,1,5,Coordinator
141,Software Build Club,2,6,Coordinator
201,Cube Club,3,5,Coordinator
284,Dance Club,4,5,Coordinator
392,Design Club,1,6,Coordinator
423,Ethical Hacking,2,7,Coordinator
280,Literacy Club,3,8,Coordinator
353,Music Club,1,8,Coordinator
879,Movie-making Club,2,6,Coordinator
32,Robotics Club,1,7,Coordinator
676,Sports Club,4,5,Coordinator
342,Quiz Club,4,6,Coordinator
332,Web Design & Development,2,8,Coordinator
687,Astronomy Club,1,7,Coordinator
745,Electroholics Club,2,5,Coordinator
234,Chess Club,3,6,Coordinator
678,Photography Club,1,5,Coordinator
343,Aurora Club,2,8,Coordinator
967,Eco Club,3,8,Coordinator
45,Painting Club,1,7,Coordinator
858,Robotics Club,1,4,Member
59,Eco Club,1,4,Member
675,Painting Club,2,7,Member
950,Movie-making Club,4,6,Member
872,Design Club,3,7,Member
241,Music Club,3,7,Member
1000,Photography Club,3,4,Member
769,Cube Club,2,6,Member
399,Sports Club,2,7,Member
397,Literacy Club,2,4,Member
481,Chess Club,1,5,Member
45,Dance Club,1,8,Member
920,Aurora Club,2,4,Member
86,Web Design & Development,3,7,Member
733,Design Club,4,7,Member
824,Aurora Club,3,6,Member
674,Cube Club,1,4,Member
323,Movie-making Club,3,5,Member
534,Quiz Club,4,6,Member
494,Music Club,3,7,Member
713,Astronomy Club,4,8,Member
493,Cube Club,2,5,Member
302,Music Club,2,7,Member
606,Cube Club,2,8,Member
503,Photography Club,2,8,Member
808,Cube Club,1,4,Member
579,Cube Club,1,5,Member
991,Photography Club,4,8,Member
194,Quiz Club,2,8,Member
184,Ethical Hacking,2,8,Member
85,Dance Club,2,7,Member
296,Competitive Coding Club,1,5,Member
301,Web Design & Development,1,6,Member
424,Eco Club,3,4,Member
739,Sports Club,1,7,Member
179,Literacy Club,4,4,Member
659,Software Build Club,1,6,Member
432,Astronomy Club,2,6,Member
750,Competitive Coding Club,3,7,Member
785,Eco Club,1,5,Member
